team_name,player_name,franchise_eligible,previously_saved
Roach Master General,Kyren Williams,true,true
Roach Master General,Puka Nacua,true,true
Roach Master General,Rashee Rice,true,false
Captain Giaco,Jahmyr Gibbs,true,false
Captain Giaco,Chris Olave,true,false
Captain Giaco,Trey McBride,true,true
Captain Giaco,Joe Burrow,true,true
Oracle of Lyra V8s,Josh Allen,true,true
Oracle of Lyra V8s,Josh Jacobs,true,false
Oracle of Lyra V8s,Nick Chubb,true,false
Oracle of Lyra V8s,CeeDee Lamb,true,true
Oracle of Lyra V8s,Jake Ferguson,true,false
Oracle of Lyra V8s,Jerry Jeudy,true,false
Sasquatch 9ers,Bijan Robinson,true,true
Sasquatch 9ers,Amon-Ra St. Brown,true,true
Sasquatch 9ers,Travis Etienne Jr,true,false
Sasquatch 9ers,Chris Godwin Jr,true,false
Sasquatch 9ers,Kareem Hunt,true,false
Sasquatch 9ers,Seattle Seahawks DST,true,false
Grapevine Garms / Lamarvelous,Lamar Jackson,true,false
Grapevine Garms / Lamarvelous,Jaylen Warren,true,false
Grapevine Garms / Lamarvelous,Terry McLaurin,true,false
Grapevine Garms / Lamarvelous,AJ Brown,true,true
Grapevine Garms / Lamarvelous,Chris Boswell,true,false
Too Many Cooks,Jayden Daniels,true,false
Too Many Cooks,Kenneth Walker III,true,true
Too Many Cooks,Marvin Harrison Jr,true,false
Too Many Cooks,Rome Odunze,true,false
Too Many Cooks,Drake London,true,false
Too Many Cooks,Drake Maye,true,false
Too Many Cooks,Trey Benson,true,false
Rick in a Box / Pushin Tush,Jalen Hurts,true,false
Rick in a Box / Pushin Tush,Christian McCaffrey,true,true
Rick in a Box / Pushin Tush,Ja'Marr Chase,true,false
Rick in a Box / Pushin Tush,Philadelphia Eagles DST,true,false
Rick in a Box / Pushin Tush,Jauan Jennings,true,false
You Like That? / Taylormade,Derrick Henry,true,false
You Like That? / Taylormade,Tee Higgins,true,true
You Like That? / Taylormade,DeVonta Smith,true,true
Concussion Protocol / Zorro / The Ironmen,Rhamondre Stevenson,true,false
Concussion Protocol / Zorro / The Ironmen,Baker Mayfield,true,true
Concussion Protocol / Zorro / The Ironmen,Chuba Hubbard,true,false
Concussion Protocol / Zorro / The Ironmen,Chase McLaughlin,true,false
The Sea Lions,Bucky Irving,true,true
The Sea Lions,Nico Collins,true,false
Gerardo Taco Bout a Win,Patrick Mahomes,true,false
Gerardo Taco Bout a Win,Brian Thomas Jr,true,true
Bishop Taco 2.0 / Gnome Mercy,Dak Prescott,true,false
Bishop Taco 2.0 / Gnome Mercy,De'Von Achane,true,true
Bishop Taco 2.0 / Gnome Mercy,George Pickens,true,false
